Geo Point;Geo Shape;gid;geom_err;typologie;cdate;mdate;nom_commune;code_commune
44.80715729369596, -0.6309369741707278;"{""coordinates"": [[[-0.630941, 44.8071331], [-0.6309136, 44.8071379], [-0.6309335, 44.8071816], [-0.63096, 44.8071771], [-0.630941, 44.8071331]]], ""type"": ""Polygon""}";748991;;VT;2022-11-22T13:47:37+01:00;2022-11-22T13:48:22+01:00;Pessac;33318
44.88319284193362, -0.5706133156189274;"{""coordinates"": [[[-0.5706455, 44.8831887], [-0.5705844, 44.8831802], [-0.5705821, 44.8831969], [-0.5706404, 44.8832057], [-0.5706455, 44.8831887]]], ""type"": ""Polygon""}";80816;;VT;2009-04-06T00:00:00+02:00;2022-09-05T12:16:59+02:00;Bordeaux;33063
44.87952012799087, -0.5709832610008513;"{""coordinates"": [[[-0.5709725, 44.8795354], [-0.5709893, 44.8795365], [-0.5709936, 44.8795047], [-0.5709778, 44.8795033], [-0.5709725, 44.8795354]]], ""type"": ""Polygon""}";85232;;VT;2010-10-27T00:00:00+02:00;2022-09-05T12:23:14+02:00;Bordeaux;33063
44.8783991456939, -0.5434762903990128;"{""coordinates"": [[[-0.5434978, 44.8783804], [-0.5434775, 44.8783747], [-0.5434548, 44.8784184], [-0.543475, 44.8784234], [-0.5434978, 44.8783804]]], ""type"": ""Polygon""}";77902;;VT;2017-08-21T00:00:00+02:00;2022-09-05T12:36:27+02:00;Bordeaux;33063
44.86291370784269, -0.5566907894397451;"{""coordinates"": [[[-0.5566986, 44.8629359], [-0.5567197, 44.8629233], [-0.556683, 44.8628913], [-0.556662, 44.8629046], [-0.5566986, 44.8629359]]], ""type"": ""Polygon""}";78328;;VT;2009-12-03T00:00:00+01:00;2022-09-05T13:04:52+02:00;Bordeaux;33063
44.862848883990694, -0.5671597742688866;"{""coordinates"": [[[-0.5671831, 44.8628316], [-0.5671614, 44.8628248], [-0.5671363, 44.8628657], [-0.5671585, 44.862873], [-0.5671831, 44.8628316]]], ""type"": ""Polygon""}";78782;;VT;2008-11-18T00:00:00+01:00;2022-09-05T13:12:05+02:00;Bordeaux;33063
44.86054332020948, -0.5682961414048059;"{""coordinates"": [[[-0.5682704, 44.8605644], [-0.5682933, 44.8605724], [-0.5683219, 44.8605232], [-0.5682988, 44.8605139], [-0.5682704, 44.8605644]]], ""type"": ""Polygon""}";720547;;VT;2022-09-05T13:17:17+02:00;2022-09-05T13:19:21+02:00;Bordeaux;33063
44.865049284139275, -0.5713687607964631;"{""coordinates"": [[[-0.5713521, 44.8650369], [-0.5713435, 44.865052], [-0.5713863, 44.8650623], [-0.5713923, 44.8650453], [-0.5713521, 44.8650369]]], ""type"": ""Polygon""}";612274;;VT;2021-09-14T11:37:51+02:00;2022-09-05T13:23:56+02:00;Bordeaux;33063
44.820474127923454, -0.5684867349636488;"{""coordinates"": [[[-0.5684624, 44.8204881], [-0.568517, 44.8204734], [-0.5685091, 44.8204599], [-0.5684566, 44.8204755], [-0.5684624, 44.8204881]]], ""type"": ""Polygon""}";702442;;VT;2022-06-13T10:40:29+02:00;2022-09-05T10:43:48+02:00;Bordeaux;33063
44.823772178074094, -0.5726412318671559;"{""coordinates"": [[[-0.5726273, 44.8237396], [-0.5726324, 44.8238055], [-0.5726549, 44.8238045], [-0.5726505, 44.8237397], [-0.5726273, 44.8237396]]], ""type"": ""Polygon""}";702397;;VT;2022-06-13T10:26:58+02:00;2022-10-10T10:14:14+02:00;Bordeaux;33063
44.82460890748729, -0.5779375861716075;"{""coordinates"": [[[-0.5779211, 44.8245908], [-0.5779104, 44.8246018], [-0.577953, 44.8246268], [-0.5779652, 44.824616], [-0.5779211, 44.8245908]]], ""type"": ""Polygon""}";703002;;VT;2022-06-13T14:34:05+02:00;2022-09-05T10:54:06+02:00;Bordeaux;33063
44.82535750845251, -0.5775397485507545;"{""coordinates"": [[[-0.57757, 44.8253443], [-0.5775485, 44.8253322], [-0.5775089, 44.8253706], [-0.5775324, 44.8253824], [-0.57757, 44.8253443]]], ""type"": ""Polygon""}";703034;;VT;2022-06-13T14:46:50+02:00;2022-09-05T10:56:04+02:00;Bordeaux;33063
44.827492530046364, -0.5800597161809453;"{""coordinates"": [[[-0.5800831, 44.8274734], [-0.5800598, 44.8274655], [-0.5800361, 44.8275122], [-0.5800601, 44.827519], [-0.5800831, 44.8274734]]], ""type"": ""Polygon""}";702522;;VT;2022-06-13T11:14:09+02:00;2022-09-05T11:04:57+02:00;Bordeaux;33063
44.80504638286817, -0.6538122905051186;"{""coordinates"": [[[-0.6538457, 44.8050343], [-0.653819, 44.8050394], [-0.6537737, 44.8050454], [-0.6537769, 44.8050572], [-0.6538491, 44.8050482], [-0.6538457, 44.8050343]]], ""type"": ""Polygon""}";749915;;VT;2022-11-22T16:03:13+01:00;2022-11-22T16:03:34+01:00;Pessac;33318
44.8111284350721, -0.6195045524472201;"{""coordinates"": [[[-0.6194704, 44.8111306], [-0.6194808, 44.8111453], [-0.6195379, 44.8111268], [-0.6195288, 44.8111113], [-0.6194704, 44.8111306]]], ""type"": ""Polygon""}";748902;;S;2022-11-22T13:34:54+01:00;2022-11-22T13:35:23+01:00;Pessac;33318
44.786297767996224, -0.6388515771240457;"{""coordinates"": [[[-0.6388346, 44.7863234], [-0.6388528, 44.7863208], [-0.6388904, 44.7862779], [-0.6388238, 44.7862846], [-0.6388346, 44.7863234]]], ""type"": ""Polygon""}";749183;;S;2022-11-22T14:16:00+01:00;2022-11-22T14:16:24+01:00;Pessac;33318
44.95305451888812, -0.548189937205289;"{""coordinates"": [[[-0.5481622, 44.9530337], [-0.5481522, 44.9530526], [-0.5482163, 44.9530755], [-0.5482279, 44.953056], [-0.5481622, 44.9530337]]], ""type"": ""Polygon""}";845440;;S;2023-05-22T10:22:57+02:00;2023-08-29T09:15:11+02:00;Parempuyre;33312
44.780447436141614, -0.569223705054647;"{""coordinates"": [[[-0.5692067, 44.7804703], [-0.5692569, 44.7804389], [-0.5692394, 44.7804245], [-0.5691906, 44.7804568], [-0.5692067, 44.7804703]]], ""type"": ""Polygon""}";772750;;V;2023-02-22T15:52:23+01:00;2023-02-22T15:54:07+01:00;Villenave-d'Ornon;33550
44.77664969868502, -0.5327763236544358;"{""coordinates"": [[[-0.5327576, 44.77664], [-0.5327531, 44.7766538], [-0.5327954, 44.7766596], [-0.5327988, 44.7766452], [-0.5327576, 44.77664]]], ""type"": ""Polygon""}";787834;;V;2023-03-08T13:05:19+01:00;2023-03-08T13:05:57+01:00;Villenave-d'Ornon;33550
44.76599614975509, -0.5624870663453942;"{""coordinates"": [[[-0.5624649, 44.7659899], [-0.5624897, 44.7660137], [-0.5625097, 44.7660033], [-0.5624837, 44.765978], [-0.5624649, 44.7659899]]], ""type"": ""Polygon""}";787903;;V;2023-03-08T13:21:56+01:00;2023-03-08T13:22:45+01:00;Villenave-d'Ornon;33550
44.75702393110381, -0.5839717528405393;"{""coordinates"": [[[-0.5839953, 44.7570126], [-0.5839746, 44.7570042], [-0.5839482, 44.7570349], [-0.583969, 44.7570438], [-0.5839953, 44.7570126]]], ""type"": ""Polygon""}";787920;;V;2023-03-08T13:26:25+01:00;2023-03-08T13:27:15+01:00;Villenave-d'Ornon;33550
