Geo Point;Geo Shape;gml_id;LOCALISATION;GID;IDENT;NATURE_N1;NATURE_N2;NATURE;SOUS_NATURE;GID_ACTE;DATE_DEBUT_ACTE;DATE_FIN_ACTE;GID_EMPRISE;TYPE_EMPRISE;LOCALISATION_EMPRISE;MES_LIBELLE;TYPE_GEOMETRIE
44.829841255432115, -0.5682073564175639;"{""coordinates"": [[-0.568211148905514, 44.82983267029944], [-0.568203563929614, 44.82984984056478]], ""type"": ""MultiPoint""}";_93dfb584-e698-11e9-91fd-57b991809803.149088;Cours de la Marne de la place des Capucins à la place de la Victoire;149088;2405004;110;618;Gestion de l'espace public;Aménagement général;226845#243375;2024-04-08#2024-10-07;2024-10-06#2024-12-31;287147/287148/287146#308082/308080/308081;EMPRISE/EMPRISE/EMPRISE#EMPRISE/EMPRISE/EMPRISE;Place des Capucins à l'intersection du cours de la Marne Rue Chantre à l'intersection du cours de la Marne Rue Garat à l'intersection du cours de la Marne Rue Leyteire à l'intersection du cours de la Marne/Cours de l'Yser à l'intersection du cours de la Marne Rue Kleber à l'intersection du cours de la Marne/Cours de la Marne, de la place des Capucins jusqu'à la place de la Victoire#Cours de l'Yser à l'intersection du cours de la Marne Rue Kleber à l'intersection du cours de la Marne/Cours de la Marne, de la place des Capucins jusqu'à la place de la Victoire/Place des Capucins à l'intersection du cours de la Marne Rue Chantre à l'intersection du cours de la Marne Rue Garat à l'intersection du cours de la Marne Rue Leyteire à l'intersection du cours de la Marne;"Interdiction de tourner/Interdiction de tourner/Sens interdit (ou sens unique);Mesure libre circulation#Interdiction de tourner/Sens interdit (ou sens unique);Mesure libre circulation/Interdiction de tourner";POINT
44.82908907620186, -0.5681051976421074;"{""coordinates"": [-0.568105197642107, 44.82908907620186], ""type"": ""Point""}";_93dfb584-e698-11e9-91fd-57b991809803.136982;Rue de Bègles au N° 1 (Bordeaux) situé en agglomération;136982;2312276;135;465;Travaux sur immeuble - Rénovation / Entretien;Mise en place clôture;240093;2024-09-01;2024-10-31;303993/303994;EMPRISE/EMPRISE;du 1 au 3 Rue de Bègles (Bordeaux)/Rue de Bègles, du Cours de l'Yser jusqu'au 3 (Bordeaux);Neutralisation de voie/Interdiction de stationnement;POINT
44.82722381642421, -0.5676401585761818;"{""coordinates"": [-0.567640158576182, 44.82722381642421], ""type"": ""Point""}";_93dfb584-e698-11e9-91fd-57b991809803.159378;Rue de Bègles au N° 47 (Bordeaux) situé en agglomération;159378;2414961;135;466;Travaux sur immeuble - Rénovation / Entretien;Mise en place echafaudage;243804;2024-10-14;2024-10-28;None;None;None;None;POINT
44.8223828151745, -0.5658188942701223;"{""coordinates"": [[-0.565818894270122, 44.8223828151745], [-0.565818894270122, 44.8223828151745]], ""type"": ""MultiPoint""}";_93dfb584-e698-11e9-91fd-57b991809803.6677;Rue de Bègles au N° 167 (Bordeaux) situé en agglomération Rue de Bègles au N° 167 (Bordeaux) situé en agglomération;6677;182651;131;438;Transports (tram, bus) - Réseau;Création;231629;2024-06-08;2024-10-08;293183;EMPRISE;Dans toutes les rues du quartier Nansouty et Saint Genès;"Circulation alternée;Mesure libre circulation";POINT
44.82341387471979, -0.5624517580042054;"{""coordinates"": [-0.562451758004205, 44.82341387471979], ""type"": ""Point""}";_93dfb584-e698-11e9-91fd-57b991809803.159353;Rue Fieffe au N° 85 (Bordeaux) situé en agglomération;159353;2414936;135;466;Travaux sur immeuble - Rénovation / Entretien;Mise en place echafaudage;243497;2024-10-16;2024-10-16;308238;EMPRISE;85 Rue Fieffe (Bordeaux);"Interruption de circulation;Mise en impasse";POINT
44.82660596635271, -0.5544713276479794;"{""coordinates"": [-0.554471327647979, 44.82660596635271], ""type"": ""Point""}";_93dfb584-e698-11e9-91fd-57b991809803.145789;Rue des Terres de Borde au N° 54 (Bordeaux) situé en agglomération;145789;2401813;95;275;Adduction Eau Potable - Branchement;Création;243393;2024-10-14;2024-10-25;308103;EMPRISE;Rue des Terres de Borde, partie comprise entre le pont en U et le n°56;"Circulation alternée;Neutralisation de voie";POINT
44.82203211963228, -0.5538970455300145;"{""coordinates"": [-0.553897045530015, 44.82203211963228], ""type"": ""Point""}";_93dfb584-e698-11e9-91fd-57b991809803.145804;Rue d'Armagnac au N° 1 (Bordeaux) situé en agglomération;145804;2401828;95;275;Adduction Eau Potable - Branchement;Création;242711;2024-09-30;2024-10-04;307247;EMPRISE;1 Place d'Armagnac;Mesure libre circulation;POINT
44.87204749591582, -0.5737797958046661;"{""coordinates"": [-0.573779795804666, 44.87204749591582], ""type"": ""Point""}";_93dfb584-e698-11e9-91fd-57b991809803.156963;Rue François Roganeau (Bordeaux) en agglomération;156963;2412635;110;618;Gestion de l'espace public;Aménagement général;239187;2024-09-02;2025-04-04;302862;EMPRISE;Rue François Roganeau (Bordeaux);"Neutralisation de voie;Interdiction de stationnement";POINT
44.87716689781837, -0.5640622913764335;"{""coordinates"": [-0.564062291376433, 44.87716689781837], ""type"": ""Point""}";_93dfb584-e698-11e9-91fd-57b991809803.158774;Echangeur du Jonc (Bordeaux) en agglomération;158774;2414384;110;618;Gestion de l'espace public;Aménagement général;242330;2024-09-23;2024-10-04;306778/306779;EMPRISE/DEVIATION;Echangeur du Jonc (Bordeaux)/Avenue des Francais Libres et l'avenue des 40 journaux;Circulation interdite/Déviation;POINT
44.87768725665795, -0.5605919135856373;"{""coordinates"": [-0.560591913585637, 44.87768725665795], ""type"": ""Point""}";_93dfb584-e698-11e9-91fd-57b991809803.159121;Rond-point Docteur Etienne Ginestous (Bordeaux) en agglomération;159121;2414707;97;654;Aménagement  de l'espace public;Aménagement de voirie;242966;2024-10-13;2024-10-18;307567;EMPRISE;Rond-point Docteur Etienne Ginestous (Bordeaux);Neutralisation de voie;POINT
