Date de modification de la donnée;IDENT PARKING;Nom du parking;Propriétaire;Titulaire du contrat;Exploitant;Type de gestion;Secteur;INSEE Commune;Commune;IDENT EQUIPEMENT PUBLIC;Année de mise en service;Type de construction;Nombre de niveaux;Places Hors gabarit < 3.5T;Places Hors gabarit > 3.5T;Nombre de places utilisées en fourrière;Potentiel global : Parking + Parc Relais + Fourrière;Total de places en Parking ou Parc Relais;Dont max de places utilisées en parc-relais;Dont places PMR;Dont places VL électrique;Dont places Autopartage ou Autocool ou Citiz;Dont Covoiturage;Et dont places pour station de lavage;Places 2 roues à moteur;Dont 2 roues à moteur électrique;Total places vélo;Dont Places vélo électrique
2024-09-04;CUBPK111;SAINT JEAN ARMAGNAC;INTERPARKING;INTERPARKING;INTERPARKING;GESTION_PRIVEE;CENTRE;33063;BORDEAUX;Apreciser111;2023;SILO;5;0;0;0;496;496;0;10;99;0;0;0;7;0;0;0
2024-04-16;CUBPK95;GRAND PARC - Metpark;METPARK;METPARK;METPARK;REGIE_AUTONOME;CENTRE;33063;BORDEAUX;2329;2019;SILO;4;0;0;0;349;349;0;8;7;0;0;0;13;0;108;0
2023-06-29;CUBPK91;PARC-RELAIS VILLENAVE PYRENEES - TBM Keolis;BORDEAUX_METROPOLE;TBM;KEOLIS;DELEGATION_DE_SERVICE_PUBLIC_POUR_BORDEAUX_METROPOLE;PERIPHERIE;33550;VILLENAVE D'ORNON;550J0126;2019;SILO;4;0;0;0;753;753;753;20;20;0;20;0;28;0;56;4
2023-11-21;CUBPK84;PARC-RELAIS QUARANTE JOURNAUX - TBM Keolis;BORDEAUX_METROPOLE;TBM;KEOLIS;DELEGATION_DE_SERVICE_PUBLIC_POUR_BORDEAUX_METROPOLE;PERIPHERIE;33063;BORDEAUX;063J2562;2018;SURFACE;1;0;0;0;200;200;200;5;0;0;10;0;5;0;20;5
2024-03-29;CUBPK85;ARS - BELCIER - Indigo park;AUTRE;INDIGO_PARK;INDIGO_PARK;GESTION_PRIVEE;CENTRE;33063;BORDEAUX;063J2568;2018;SILO;6;0;0;0;520;520;0;10;3;0;0;0;14;0;0;0
2024-02-28;CUBPK87;UPS CARREFOUR BASTIDE - Transdev park;AUTRE;AUTRE;INDIGO_TPS;GESTION_PRIVEE;CENTRE;33063;BORDEAUX;063J2570;2018;ENTERRE;1;158;0;0;158;158;0;3;0;0;0;0;0;0;0;0
2024-04-04;CUBPK90;Parking gratuit GARE BLANQUEFORT;BORDEAUX_METROPOLE;AUTRE;BORDEAUX_METROPOLE;AUTRE;PERIPHERIE;33075;BLANQUEFORT;056J0099;2018;SURFACE;0;0;0;0;151;151;0;4;0;0;0;0;0;0;0;0
2024-04-16;CUBPK83;TALENCE 7E ART - Metpark;AGORA_CINEMA;METPARK;METPARK;REGIE_AUTONOME;PERIPHERIE;33522;TALENCE;522J0388;2017;ENTERRE;2;0;0;0;321;321;0;7;0;0;0;0;0;0;0;0
2024-04-16;CUBPK78;PALUDATE - SAINT JEAN - Metpark;METPARK;METPARK;METPARK;REGIE_AUTONOME;CENTRE;33063;BORDEAUX;063J1102;2017;SILO;3;0;0;0;565;565;0;12;4;0;0;0;20;0;72;0
2024-06-28;CUBPK15;CLEMENCEAU - Qpark;Q_PARK;Q_PARK;Q_PARK;GESTION_PRIVEE;HYPER_CENTRE;33063;BORDEAUX;063J2500;2014;ENTERRE;7;0;0;0;379;379;0;7;10;0;0;2;18;0;0;0
2024-04-16;CUBPK31;BONNAC - Metpark;BORDEAUX_METROPOLE;METPARK;METPARK;REGIE_AUTONOME;HYPER_CENTRE;33063;BORDEAUX;063J2507;2009;ENTERRE;1;0;0;0;169;169;0;4;6;0;0;0;0;0;0;0
2023-11-21;CUBPK54;PARC-RELAIS RAVEZIES LE BOUSCAT - TBM Keolis;BORDEAUX_METROPOLE;TBM;KEOLIS;DELEGATION_DE_SERVICE_PUBLIC_POUR_BORDEAUX_METROPOLE;PERIPHERIE;33069;LE BOUSCAT;069J0065;2008;SILO;6;0;0;0;369;369;369;9;2;0;10;0;26;0;24;6
2023-06-29;CUBPK53;PARC-RELAIS QUATRE CHEMINS - TBM Keolis;BORDEAUX_METROPOLE;TBM;KEOLIS;DELEGATION_DE_SERVICE_PUBLIC_POUR_BORDEAUX_METROPOLE;PERIPHERIE;33281;MERIGNAC;281J0574;2008;SILO;5;0;0;0;398;398;398;8;4;0;10;0;38;6;14;0
2024-04-23;CUBPK12;AEROPORT P4 LONGUE DUREE - Indigo park;AEROPORT_DE_BORDEAUX;INDIGO_PARK;INDIGO_PARK;CONCESSION_DE_SERVICE;PERIPHERIE;33281;MERIGNAC;281J2511;2008;SURFACE;1;0;0;0;3427;3427;0;10;0;0;0;0;0;0;0;0
2024-04-24;CUBPK11;AEROPORT P2 FLEXI - Indigo park;AEROPORT_DE_BORDEAUX;INDIGO_PARK;INDIGO_PARK;CONCESSION_DE_SERVICE;PERIPHERIE;33281;MERIGNAC;281J2512;2008;SURFACE;1;0;0;0;3377;3377;0;25;0;0;0;0;0;0;0;0
2023-06-29;CUBPK52;PARC-RELAIS LES AUBIERS - TBM Keolis;BORDEAUX_METROPOLE;TBM;KEOLIS;DELEGATION_DE_SERVICE_PUBLIC_POUR_BORDEAUX_METROPOLE;PERIPHERIE;33063;BORDEAUX;063J1108;2008;SURFACE;1;0;0;0;234;234;234;5;0;0;5;0;40;0;0;0
2023-06-29;CUBPK47;PARC-RELAIS FLOIRAC DRAVEMONT - TBM Keolis;BORDEAUX_METROPOLE;TBM;KEOLIS;DELEGATION_DE_SERVICE_PUBLIC_POUR_BORDEAUX_METROPOLE;PERIPHERIE;33167;FLOIRAC;167J0060;2007;SURFACE;1;0;0;0;46;46;46;4;0;0;5;0;40;0;0;0
2023-11-21;CUBPK45;PARC-RELAIS BUTTINIERE - TBM Keolis;BORDEAUX_METROPOLE;TBM;KEOLIS;DELEGATION_DE_SERVICE_PUBLIC_POUR_BORDEAUX_METROPOLE;PERIPHERIE;33249;LORMONT;249J0105;2004;SILO;5;0;0;0;611;611;611;16;0;0;10;0;52;0;26;6
2023-06-29;CUBPK56;PARC-RELAIS UNITEC - TBM Keolis;BORDEAUX_METROPOLE;TBM;KEOLIS;DELEGATION_DE_SERVICE_PUBLIC_POUR_BORDEAUX_METROPOLE;PERIPHERIE;33318;PESSAC;318J0307;2004;SURFACE;1;0;0;0;249;249;249;5;0;0;5;0;28;0;56;4
2024-01-16;CUBPK36;BERGONIE - Metpark;BORDEAUX_METROPOLE;METPARK;METPARK;REGIE_AUTONOME;CENTRE;33063;BORDEAUX;063J1091;2002;ENTERRE;3;0;0;0;66;66;0;0;0;0;0;0;0;0;0;0
2023-02-22;CUBPK19;CAPUCINS - Geraud;VILLE_DE_BORDEAUX;GERAUD;GERAUD;DELEGATION_DE_SERVICE_PUBLIC_POUR_LA_VILLE_DE_BORDEAUX;CENTRE;33063;BORDEAUX;063J0011;1999;SILO;2;0;0;0;270;270;0;6;0;0;0;0;20;0;10;0
2024-04-16;CUBPK29;VICTOIRE - Metpark;BORDEAUX_METROPOLE;METPARK;METPARK;REGIE_AUTONOME;HYPER_CENTRE;33063;BORDEAUX;063J0004;1984;ENTERRE;3;0;0;0;457;457;0;10;0;0;0;0;14;0;60;0
2024-04-16;CUBPK34;Huit mai 45 - Metpark;BORDEAUX_METROPOLE;METPARK;METPARK;REGIE_AUTONOME;HYPER_CENTRE;33063;BORDEAUX;063J0009;1979;SILO;3;0;0;248;669;421;0;9;0;0;0;0;20;0;218;20
2024-06-27;CUBPK113;BELVEDERE Indigo park;AUTRE;INDIGO_PARK;INDIGO_PARK;GESTION_PRIVEE;PERIPHERIE;33063;BORDEAUX;Apreciser113;2024;ENTERRE;1;;0;0;110;110;0;3;6;0;0;0;0;0;0;0
2024-04-17;CUBPK112;AMPLITUDE METPARK;METPARK;METPARK;METPARK;REGIE_AUTONOME;CENTRE;33063;BORDEAUX;Apreciser112;2023;SILO;2;0;0;0;401;401;0;9;19;0;0;0;0;0;0;0
2024-04-16;CUBPK109;AMEDEE ST GERMAIN - Metpark;METPARK;METPARK;METPARK;REGIE_AUTONOME;CENTRE;33063;BORDEAUX;Apreciser109;2022;MIXTE;3;0;0;0;632;632;0;14;30;0;0;0;7;0;0;0
2024-03-29;CUBPK103;Les Bassins - Indigo park;AUTRE;INDIGO_PARK;INDIGO_PARK;GESTION_PRIVEE;CENTRE;33063;BORDEAUX;Apreciser103;2021;SILO;5;0;0;0;424;424;0;15;3;0;0;0;0;0;56;0
2024-03-29;CUBPK104;Brienne - Indigo park;AUTRE;INDIGO_PARK;INDIGO_PARK;GESTION_PRIVEE;CENTRE;33063;BORDEAUX;Apreciser104;2021;SILO;5;0;0;0;363;363;0;9;6;0;0;0;20;0;0;0
