Geo Point;Geo Shape;gid;ident;type;zone;comptage_5m;cdate;mdate;commune;CODE_COMMUNE
44.7791829, -0.6111968;"{""coordinates"": [-0.6111968, 44.7791829], ""type"": ""Point""}";222;Z18CT13;BOUCLE;18;0;2012-11-08T16:24:12+01:00;2024-10-01T16:25:00+02:00;Gradignan;33192
44.8697519, -0.6735089;"{""coordinates"": [-0.6735089, 44.8697519], ""type"": ""Point""}";224;Z24CT3;BOUCLE;24;40;2012-11-08T16:30:52+01:00;2024-10-01T16:25:00+02:00;Le Haillan;33200
44.8608559, -0.6391191;"{""coordinates"": [-0.6391191, 44.8608559], ""type"": ""Point""}";226;Z24CT1;BOUCLE;24;32;2012-11-08T16:46:24+01:00;2024-10-01T16:25:00+02:00;Eysines;33162
44.8387194, -0.5991125;"{""coordinates"": [-0.5991125, 44.8387194], ""type"": ""Point""}";230;Z6CT4;BOUCLE;6;;2012-11-09T08:17:40+01:00;2012-11-09T08:18:08+01:00;Bordeaux;33063
44.8444604, -0.5991384;"{""coordinates"": [-0.5991384, 44.8444604], ""type"": ""Point""}";232;Z6CT1;BOUCLE;6;;2012-11-09T08:20:08+01:00;2012-11-09T08:20:24+01:00;Bordeaux;33063
44.8400555, -0.6013362;"{""coordinates"": [-0.6013362, 44.8400555], ""type"": ""Point""}";234;Z6CT6;BOUCLE;6;0;2012-11-09T08:22:28+01:00;2024-10-01T16:25:00+02:00;Bordeaux;33063
44.8424901, -0.5897733;"{""coordinates"": [-0.5897733, 44.8424901], ""type"": ""Point""}";237;Z6CT14;BOUCLE;6;31;2012-11-09T08:26:52+01:00;2024-10-01T16:25:00+02:00;Bordeaux;33063
44.8395507, -0.6078614;"{""coordinates"": [-0.6078614, 44.8395507], ""type"": ""Point""}";239;Z6CT19;BOUCLE;6;51;2012-11-09T08:29:48+01:00;2024-10-01T16:25:00+02:00;Bordeaux;33063
44.8377535, -0.6179107;"{""coordinates"": [-0.6179107, 44.8377535], ""type"": ""Point""}";241;Z6CT9;BOUCLE;6;0;2012-11-09T08:36:16+01:00;2024-10-01T16:25:00+02:00;Mérignac;33281
44.8383701, -0.6140944;"{""coordinates"": [-0.6140944, 44.8383701], ""type"": ""Point""}";242;Z6CT10;BOUCLE;6;47;2012-11-09T08:40:40+01:00;2024-10-01T16:25:00+02:00;Mérignac;33281
44.8018652, -0.6634783;"{""coordinates"": [-0.6634783, 44.8018652], ""type"": ""Point""}";248;Z27CT9;BOUCLE;27;61;2012-11-16T16:09:44+01:00;2024-10-01T16:25:00+02:00;Pessac;33318
44.7996996, -0.6619426;"{""coordinates"": [-0.6619426, 44.7996996], ""type"": ""Point""}";249;Z27CT3;BOUCLE;27;46;2012-11-16T16:12:28+01:00;2024-10-01T16:25:00+02:00;Pessac;33318
44.879648, -0.5205961;"{""coordinates"": [-0.5205961, 44.879648], ""type"": ""Point""}";257;Z22CT11;BOUCLE;22;17;2012-11-16T16:35:36+01:00;2024-10-01T09:50:00+02:00;Lormont;33249
44.8797593, -0.5239218;"{""coordinates"": [-0.5239218, 44.8797593], ""type"": ""Point""}";258;Z22CT10;BOUCLE;22;18;2012-11-16T16:37:00+01:00;2024-10-01T09:50:00+02:00;Lormont;33249
44.8674405, -0.5129006;"{""coordinates"": [-0.5129006, 44.8674405], ""type"": ""Point""}";262;Z22CT2;BOUCLE;22;31;2012-11-16T16:56:56+01:00;2024-10-01T09:50:00+02:00;Lormont;33249
44.865968, -0.5238364;"{""coordinates"": [-0.5238364, 44.865968], ""type"": ""Point""}";264;Z2201CT5;BOUCLE;22;0;2012-11-16T17:14:48+01:00;2024-10-01T09:50:00+02:00;Lormont;33249
44.8665095, -0.5240393;"{""coordinates"": [-0.5240393, 44.8665095], ""type"": ""Point""}";265;Z2201CT6;BOUCLE;22;27;2012-11-16T17:17:28+01:00;2024-10-01T09:50:00+02:00;Lormont;33249
44.8608605, -0.5881391;"{""coordinates"": [-0.5881391, 44.8608605], ""type"": ""Point""}";272;Z13CT1;BOUCLE;13;50;2012-11-28T11:03:28+01:00;2024-10-01T16:25:00+02:00;Le Bouscat;33069
44.8347133, -0.5524504;"{""coordinates"": [-0.5524504, 44.8347133], ""type"": ""Point""}";273;Z5CT15;BOUCLE;5;;2012-11-28T13:58:12+01:00;2013-12-10T14:04:12+01:00;Bordeaux;33063
44.8408954, -0.561522;"{""coordinates"": [-0.561522, 44.8408954], ""type"": ""Point""}";277;Z8CT2;BOUCLE;8;;2012-11-28T14:04:16+01:00;2013-12-10T14:10:12+01:00;Bordeaux;33063
44.839406, -0.5601731;"{""coordinates"": [-0.5601731, 44.839406], ""type"": ""Point""}";279;Z8CT15;BOUCLE;8;23;2012-11-28T14:08:00+01:00;2024-10-01T09:50:00+02:00;Bordeaux;33063
44.8490958, -0.5456037;"{""coordinates"": [-0.5456037, 44.8490958], ""type"": ""Point""}";283;Z8CT4;BOUCLE;8;24;2012-11-28T14:17:20+01:00;2024-10-01T09:50:00+02:00;Bordeaux;33063
44.8162388, -0.5775889;"{""coordinates"": [-0.5775889, 44.8162388], ""type"": ""Point""}";290;Z11CT11;BOUCLE;11;0;2012-11-29T07:42:04+01:00;2024-10-01T16:25:00+02:00;Talence;33522
44.8773476, -0.5442623;"{""coordinates"": [-0.5442623, 44.8773476], ""type"": ""Point""}";293;Z25CT24;BOUCLE;25;1;2012-11-29T07:51:44+01:00;2024-10-01T16:25:00+02:00;Bordeaux;33063
44.8747258, -0.5767856;"{""coordinates"": [-0.5767856, 44.8747258], ""type"": ""Point""}";296;Z25CT11;BOUCLE;25;44;2012-11-29T07:58:40+01:00;2024-10-01T16:25:00+02:00;Bruges;33075
44.8727517, -0.576322;"{""coordinates"": [-0.576322, 44.8727517], ""type"": ""Point""}";297;Z25CT12;BOUCLE;25;43;2012-11-29T08:00:20+01:00;2024-10-01T16:25:00+02:00;Bordeaux;33063
44.8756901, -0.5690752;"{""coordinates"": [-0.5690752, 44.8756901], ""type"": ""Point""}";299;Z25CT6;BOUCLE;25;32;2012-11-29T08:03:20+01:00;2024-10-01T16:25:00+02:00;Bordeaux;33063
44.8877117, -0.5600755;"{""coordinates"": [-0.5600755, 44.8877117], ""type"": ""Point""}";303;Z25CT3;BOUCLE;25;;2012-11-29T13:16:48+01:00;2012-11-29T13:16:56+01:00;Bordeaux;33063
44.8081266, -0.6253713;"{""coordinates"": [-0.6253713, 44.8081266], ""type"": ""Point""}";310;Z16CT7;BOUCLE;16;23;2012-11-29T13:27:44+01:00;2024-10-01T16:25:00+02:00;Pessac;33318
